    1.000000      0.7544819E-04
   0.9983707      0.1159048E-02
   0.9937999      0.4041277E-02
   0.9869141      0.8003895E-02
   0.9780870      0.1256330E-01
   0.9670106      0.1776919E-01
   0.9534059      0.2387971E-01
   0.9372777      0.3088243E-01
   0.9186631      0.3865024E-01
   0.8976624      0.4712420E-01
   0.8744280      0.5627324E-01
   0.8490738      0.6596853E-01
   0.8217150      0.7603913E-01
   0.7924749      0.8629509E-01
   0.7615154      0.9654982E-01
   0.7289868      0.1066058    
   0.6951141      0.1162813    
   0.6600856      0.1253838    
   0.6241209      0.1336995    
   0.5874552      0.1410267    
   0.5503581      0.1471689    
   0.5131360      0.1519773    
   0.4760817      0.1553485    
   0.4394974      0.1572455    
   0.4036362      0.1576936    
   0.3687577      0.1567385    
   0.3352107      0.1544895    
   0.3028624      0.1510181    
   0.2714880      0.1463602    
   0.2412584      0.1405747    
   0.2122733      0.1337291    
   0.1847804      0.1259510    
   0.1589894      0.1173572    
   0.1350116      0.1080683    
   0.1129528      0.9823200E-01
   0.9291730E-01  0.8802500E-01
   0.7495516E-01  0.7766263E-01
   0.5910060E-01  0.6739275E-01
   0.4535506E-01  0.5742225E-01
   0.3341846E-01  0.4766856E-01
   0.2321877E-01  0.3814862E-01
   0.1487273E-01  0.2907464E-01
   0.8059258E-02  0.2016912E-01
   0.2947331E-02  0.1144715E-01
   0.2755170E-03  0.3724728E-02
   0.2217445E-03 -0.2382333E-02
   0.2463534E-02 -0.6844157E-02
   0.8595469E-02 -0.1087530E-01
   0.1920147E-01 -0.1291917E-01
   0.3281259E-01 -0.1298199E-01
   0.4916169E-01 -0.1176171E-01
   0.6807723E-01 -0.9535326E-02
   0.8944568E-01 -0.6620815E-02
   0.1130941     -0.3278173E-02
   0.1388569      0.5100845E-03
   0.1664908      0.4713992E-02
   0.1962653      0.9318512E-02
   0.2287589      0.1430618E-01
   0.2639733      0.1956184E-01
   0.3016943      0.2492919E-01
   0.3416484      0.3023143E-01
   0.3835532      0.3528253E-01
   0.4270889      0.3987825E-01
   0.4718877      0.4384312E-01
   0.5175454      0.4701163E-01
   0.5636438      0.4921427E-01
   0.6097249      0.5031651E-01
   0.6553096      0.5022076E-01
   0.6999151      0.4888370E-01
   0.7430436      0.4636870E-01
   0.7842247      0.4284660E-01
   0.8229898      0.3851269E-01
   0.8589142      0.3349761E-01
   0.8915872      0.2796362E-01
   0.9206111      0.2212158E-01
   0.9456419      0.1618956E-01
   0.9661763      0.1033383E-01
   0.9816882      0.5311541E-02
   0.9921742      0.2026735E-02
   0.9981048      0.3866927E-03
    1.000000     -0.8365535E-04
